id;Date;City;Temperature
32549;07.12.2012;New York City;40.9
32550;08.12.2012;New York City;46.9
32551;09.12.2012;New York City;47.5
32552;10.12.2012;New York City;50.6
32553;11.12.2012;New York City;49.8
32554;12.12.2012;New York City;41.7
32555;13.12.2012;New York City;41.8
32556;14.12.2012;New York City;42.9
32557;15.12.2012;New York City;44.0
32558;16.12.2012;New York City;44.2
32559;17.12.2012;New York City;42.8
32560;18.12.2012;New York City;47.3
32561;19.12.2012;New York City;45.4
32562;20.12.2012;New York City;40.7
32563;21.12.2012;New York City;48.3
32564;22.12.2012;New York City;38.4
32565;23.12.2012;New York City;39.3
32566;24.12.2012;New York City;38.8
32567;25.12.2012;New York City;37.5
32568;26.12.2012;New York City;33.2
32569;27.12.2012;New York City;39.1
32570;28.12.2012;New York City;33.8
32571;29.12.2012;New York City;33.5
32572;30.12.2012;New York City;33.5
32573;31.12.2012;New York City;33.0
